Brand, Price
 New Original Razer Firefly Hard Edition Mousepad,RM 200,
 Razer Mamba Tournament Edition New Original,RM 300,
 Razer ornata chroma mechanical,RM 350,
 Razer Blackwidow X Chroma Mechanical Keyboard,RM 500,
 Razer kraken 7.1suround headset(usb),RM 250,
 Razer Cynosa and Deathstalker,RM 70,
 Razer chroma mamba,RM 250,
 Razer BlackWidow Ultimate machanical green switch,RM 230,
 Razer gaming backpack,RM 180,
 Razer blade pro 4k,RM 3 900,
 Razer Naga 2014,RM 180,
 Razer Abyssus 2015,RM 60,
 Razer Kraken 7.1 V2 OVAL EarCup Headphone ORIGINAL,RM 390,
 Razer Kraken 7.1 V2 OVAL EarCup Headphone ORIGINAL,RM 390,
 Razer blade pro i7, 512ssd,,RM 3 800,
 Razer blackwidow stealth tournament edition 2014,RM 250,
 Razer OROCHI Gaming Mouse,RM 200,
 Razer Hammerhead Bluetooth Earphones,RM 510,
 Razer Ferox,RM 195,
 Razer kraken mobile neon blue headset,RM 220,
 Razer blackwidow chroma,RM 200,
 Razer BlackWidow Ultimate machanical green switch,RM 250,
 Razer blackwidow mechanical keyboard,RM 200,
 Razer Adaro DJ Earphones,RM 250,
 Razer Blade Pro,RM 3 500,
 Razer Blackwidow Ultimate 2013,RM 150,
 Razer Mamba Tour edition Chroma,RM 180,
 Razer Nabu,RM 655,
 Razer Blackwidow Chroma V1,RM 480,
 Razer blackwidow chroma keyboard,RM 400,
 Gaming Mouse Razer Mamba 16k dpi,RM 350,
 MousePad Razer & Fantech,RM 50,
 Razer kraken v2,RM 340,
 Razer DeathStalker Essential,RM 150,
 Razer blackwidow chroma,RM 550,
 Razer Kraken Pro 2016 V1,RM 350,
 Razer Taipan Mouse,RM 120,
 Razer Deathadder Chroma mouse,RM 179,
 Razer Mamba TE Gaming Mouse,RM 250,
 Razer deathadder chroma,RM 199,
